Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,28/10/95,Hansa Rostock,Ein Frankfurt,1,1,D,0,1,A,,,,,,,,,,,
D1,28/10/95,Schalke 04,Dortmund,1,2,A,1,1,D,,,,,,,,,,,
D1,28/10/95,Werder Bremen,St Pauli,1,1,D,1,0,H,,,,,,,,,,,
D1,29/10/95,Uerdingen,Munich 1860,2,0,H,2,0,H,,,,,,,,,,,
D1,03/11/95,Leverkusen,Hamburg,0,1,A,0,1,A,,,,,,,,,,,
D1,03/11/95,St Pauli,FC Koln,3,3,D,0,1,A,,,,,,,,,,,
D1,04/11/95,Dortmund,Dusseldorf,3,0,H,2,0,H,,,,,,,,,,,
D1,04/11/95,Ein Frankfurt,Bayern Munich,4,1,H,2,0,H,,,,,,,,,,,
D1,04/11/95,Freiburg,Uerdingen,1,1,D,0,1,A,,,,,,,,,,,
D1,04/11/95,Kaiserslautern,Karlsruhe,2,2,D,1,1,D,,,,,,,,,,,
D1,04/11/95,Munich 1860,Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,
D1,04/11/95,Stuttgart,Werder Bremen,1,1,D,0,0,D,,,,,,,,,,,
D1,05/11/95,M'gladbach,Schalke 04,4,1,H,1,1,D,,,,,,,,,,,
D1,10/11/95,Hamburg,Dortmund,2,2,D,0,2,A,,,,,,,,,,,
D1,10/11/95,Hansa Rostock,Bayern Munich,0,0,D,0,0,D,,,,,,,,,,,
D1,10/11/95,Uerdingen,Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
D1,11/11/95,Dusseldorf,M'gladbach,3,2,H,1,1,D,,,,,,,,,,,
D1,11/11/95,FC Koln,Stuttgart,2,2,D,0,0,D,,,,,,,,,,,
D1,11/11/95,Karlsruhe,Leverkusen,1,4,A,0,2,A,,,,,,,,,,,
D1,11/11/95,Munich 1860,Freiburg,3,0,H,1,0,H,,,,,,,,,,,
D1,11/11/95,Schalke 04,St Pauli,2,0,H,1,0,H,,,,,,,,,,,
D1,11/11/95,Werder Bremen,Ein Frankfurt,1,1,D,1,0,H,,,,,,,,,,,
D1,17/11/95,M'gladbach,Hamburg,1,2,A,0,2,A,,,,,,,,,,,
